MovieID,description,
80,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,
81,Five different criminals face imminent death after botching a job quite badly.,
82,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",
83,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,
84,"This moving story was the swan song of actress Viveca Lindfors, who died unexpectedly soon after completing it. It&apos;s a fitting tribute, as the film explores the last performance in the ancestral home of a large family of actors.",
85,In the 1800s a naturalist marries into a family of British country gentry.,
86,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,
87,A young boy befriends a larcenous orangutan in a luxury hotel.,
88,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate&apos;s well-meaning but incompetent brother doesn&apos;t ruin the election.,
89,"An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",
90,"The Journey of August King is a multi-dimensional drama about a North Carolina farmer in April 1815. August King, a widower, is on his way home as he does every year after selling his produce and purchasing the stock and goods he wil",
92,"A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde.",
93,"A ship docks in Brooklyn with all its crew dead, but someone gets off and the killing continues on land. A Caribbean vampire is searching for a specific woman, half-human half-vampire. Rita is the detective investigating the many kil",
94,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,
95,Terrorists steal nuclear warheads from the U.S. military but don&apos;t count on a pilot and park ranger spoiling their plans.,
96,"A group of theater actors plays &quot;Hamlet&quot; in a provincial village, faced with their own temptations, disappointments, and joys.",
97,"The film is set in a real incident of police violence in the 18th District of Paris in 1993: a policeman shot and killed makom é m'bowol é, a 17-year-old Zaire teenager, while on patrol. In the film, a group of anti-government youth are on the streets of Paris. The dispute arose from one of them being beaten and seriously injured by the police, and everyone held a grudge. Wenz (Vincent Cassel) gets a real gun and is determined to return the color. Their hatred and anger can be seen everywhere, and this large-scale conflict with the police is imminent. In the scuffle, Wenz was shot and killed by the police. His accomplices trembled and aimed at the police's head. The gunfire rang out... Everyone lost control, whether the police or street gangsters. The restlessness and agitation in adolescence are like uncontrollable anger, and no one is spared.",
98,"You&apos;ve run out of options, no school, no job. Steal a car, smash a shop with a heavy car and reap the proceeds! This movie is about underground England. The causes, the benefits, and the result of a life of &apos;crash and carry.&apos;",
99,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who&apos;",
100,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",
101,Three friends plan to pull off a simple robbery and go on the run.,
102,"A lonely single woman finds the seemingly-perfect man to date, but soon regrets it when his deranged, possessive other personality emerges and she cannot convince anyone else of his Jekyll-and-Hyde true nature.",
103,"A medical examiner, who was suspected of murdering his wife, is trying an experimental drug to retrieve his wife&apos;s and others&apos; memory and maybe find the killer and the mass murderer in a related present case.",
104,A rejected hockey player puts his skills to the golf course to save his grandmother&apos;s house.,
105,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,
106,"On the brink of her 30th birthday, Fanny feels the door to marital happiness closing up on her. She is obsessed with death, even visits evening classes on dying and so it seems fitting, that she encounters a skeleton in the malfuncti",
107,The Muppets&apos; twist on the classic tale.,
108,"A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York one year in the early 1990s, probably 1992. She and others dash from one designer&apos;s unveilings to another. Extended footage look",
109,"Late one night, in a seedy topless bar, a group of men watch a stripper dance over their malted beverages. But, one of them is an ex-con who&apos;s about to put the group on a collision course with death. Inspired by the events that spawn",
110,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,
111,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prosti",
112,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,
113,Two parents deal with the effects when their son is accused of murdering his girlfriend.,
114,"Margaret MacNiel, a girl living in a Cape Breton coal mining town, finds her life changing when she meets Neil Currie, a cheerful bagpipe-playing dishwasher. Unfortunately, neither of them are able to escape the industry around them.",
115,"Francis, the boss of a small plumbing supply company, is harassed by tax collectors, striking employees, and an impossible wife and daughter. His only joy is sharing lunch with his friend Gerard. Then a TV show called &quot;where are you?",
116,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first fully-rounded portrait of their brash and free-sp",
117,"This film is based on a true story about a British teenager who allegedly poisoned family, friends, and co-workers. Graham is highly intelligent, but completely amoral. He becomes interested in science, especially chemistry, and begi",
118,"Two NYC roomies have a pact to jump off Brooklyn Bridge, if they haven&apos;t found life partners before she&apos;s 30. That&apos;s less than a month away.",
119,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate to ",
120,"A bunch of high school misfits in Hawaii, introduced by their new teacher, attend a science fair in which they draw up inspiration to build their own solar car and win a trip to compete in the 1990 World Solar Challenge in Australia.",
121,The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland.,
122,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.,
123,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",
124,A photographer and the types of people he encounters.,
125,"A young man, his wife, and his incompetent case worker travel across country to find his birth parents.",
126,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,
127,"As she grows up, Alia (the daughter of housemaid Khedija) learns the secrets of the peaceful palace where she and her mother live.",
128,"Michel Negroponte, a documentary filmmaker, meets Maggie one day in Central Park. Maggie claims to be married to the god Jupiter and the daughter of actor Robert Ryan. Michel gets to know Maggie over the next couple of years, and att",
129,A whimsical saga of a young man whose two life-consuming passions are unraveling traffic gridlock and an avant-garde dancer. A romantic comedy.,
130,Rebecca Miller&apos;s riveting drama examines how two sisters cope with their mother&apos;s mental illness.,
131,"A writer with dwarfism shares the story of his unconventional, though not altogether bad, upbringing as his mother struggled to raise him in the mid 20th century, with the help of a surrogate father.",
132,"A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he still l",
133,"The humble and hardworking Orodoto Balbuena finally gets an opportunity of realizing his lifelong dream of reaching New York and living the &quot;American Dream&quot;, but soon finds out that things aren&apos;t as pretty as he thought.",
134,"Within days after the release of Negativland&apos;s clever parody of U2 and Casey Kasem, recording industry giant Island Records descended upon the band with a battery of lawyers intent on erasing the piece from the history of rock music.",
135,"Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days.",
136,"Mark Rappaport&apos;s creative bio-pic about actress Jean Seberg is presented in a first-person, autobiographical format (with Seberg played by Mary Beth Hurt). He seamlessly interweaves cinema, politics, American society and culture, and",
137,"Mockumentary look at Playgirl Magazine centerfold and 1992 Man of the Year, Dirk Shafer, who kept it a secret from the magazine that he is gay. Most of the film is a fictionalized retelling of Dirk&apos;s decision to send a photograph to ",
138,"While on a train, a teenage boy thinks about his life and the flamboyant aunt whose friendship acted as an emotional shield from his troubled family. This film evokes the haunting quality of memory while creating a heartfelt portrait",
139,A cynical woman (Champa) leads exploited workers in a revolt against a cruel landowner (Mohan Agashe) in India,
140,"Tali (Michelle Pfeiffer) is an ordinary waitress, but she has always had a dream of being an announcer in her heart. How she wanted her dream to come true, so she sent the video of her cheerleading performance to the TV station. She thought the other party would not be interested in her, but she was still willing to try.Things went beyond her imagination. She was not only hired by the TV station, but also guided by veteran reporter Warren (Robert Redford). When she first broadcast the weather news, Tali didn't perform well, but she was encouraged by Warren and learned from Warren very hard. Finally, they fell in love with each other in the long time. Tali began to work as a reporter slowly. She got Warren's help and her career developed very smoothly. But things are unpredictable. Warren, who got married, went to Panama and was unfortunately shot in the interview",
141,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée&apos;s right-wing moralistic parents.,
142,"Liz and Benny were both born into a colored family. At a literary party, Liz met Tony, a handsome white intellectual youth. With a frivolous enthusiasm, Liz abandoned her original suitor, threw herself into Tony's arms and had sex with Tony. However, Tony felt disgusted when he found that Liz was not white, especially when he saw Liz's big brother with dark skin and thick lips. Liz suffered for some time. Finally, the pursuit of a black youth pulled her out of the abyss. Benny, Liz's second brother, is rebellious by nature and always wanders the streets with three or two friends. Although he is not white, he sometimes hates the vulgarity of blacks. He seems to be just walking and watching on the street, detached, but inevitably decadent.",
143,"In 1981 in Medjugorje (BA), a group of kids claim that Virgin Mary appeared to them on a hill. The local priest believes them and spreads the word. Religious tourism blossoms. The communist government is concerned and arrests the pri",
144,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.",
145,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,
146,A young American boy visiting in China helps his zoologist father rescue a panda cub from unscrupulous poachers while his panda reserve is threatened with closure from officious bureaucrats.,
147,A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.,
148,"Set right after World War II, a naive teenage girl joins a shabby theatre troupe in Liverpool. During a winter production of Peter Pan, the play quickly turns into a dark metaphor for youth as she becomes drawn into a web of sexual p",
149,"An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there&apos;s Sofia, the porn star.",
150,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,
151,"In 1713 Scotland, Rob Roy MacGregor is wronged by a nobleman and his nephew, becomes an outlaw in search of revenge while fleeing the Redcoats, and faces charges of being a Jacobite.",
152,"A New York philosophy grad student turns into a vampire after getting bitten by one, and then tries to come to terms with her new lifestyle and frequent craving for human blood.",
153,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",
154,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,
155,"Laura is trying to pick up the pieces of her life after the murder of her husband and son, and goes on vacation with her sister to Burma. After losing her passport at a political rally, she is left on her own for a few days, during w",
156,"Brooklyn Cigar Store is a neighborhood hangout in Brooklyn with Auggie Wren/H.Keitel as center. Some people are interviewed about Brooklyn, spiced up with statistics on Brooklyn.",
157,"The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war against Canada.",
158,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,
159,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.",
160,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.",
161,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so.",
162,An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.,
163,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,
164,"An African-American man is hired to find a woman, and gets mixed up in a murderous political scandal.",
165,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",
166,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos and quickie marts.",
167,"After an abandoned young woman in late 19th Century England is taken in by a rural couple with three handsome sons, tragic consequences result.",
168,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.",
169,Teenager Jesse becomes reunited with Willy two years after the whale&apos;s jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,
170,Hackers are blamed for making a virus that will capsize five oil tankers.,
171,A poignant romantic comedy about the quest for love and intimacy in the age of AIDS. A story of a thirtyish gay actor/waiter who decides to become celibate...the risk of AIDS has taken all the joy from sex.,
172,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.",
173,"In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart.",
174,Jobless loser Tommy Collins is sequestered to be a juror in a serial killer trial. He does everything he can to prolong the trial and deliberations to take full advantage of the free lodging and food.,
175,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins.",
176,This ultimate tribute to all independent filmmakers takes place during one day on the set of a non-budget movie.,
177,"A private detective gets more than he bargains for when he encounters Philip Swan, a performer whose amazing illusions captivate the world, but they are not really what everyone thinks.",
178,"This film is a black comedy about a group of young people in their early twenties in the 1990s looking for love and value. The plot focuses on David and Kaidi. David is a gay waiter who gave up his acting career; Kadi is a book critic and David's former lover. Their lives are tangled with David's friends and Kadi's close friends. At the same time, a serial killer caused inexplicable panic near their house",
179,The wild and sexy story of two passionate young people who take to the road for the incredible adventure of their lives.,
180,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.",
181,"A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a dista",
182,A young widow still grieving over the death of her husband finds herself being comforted by a local housepainter.,
183,"A mute make-up artist working on a slasher movie being shot in Moscow, is locked in the studio after hours. While there, she witnesses a brutal murder, and must escape capture.",
184,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father&apos;s death. Meanwhile, they are being ",
185,"Angela (Sandra Bullock) is an isolated programmer. The computer is her good helper and friend. Most of her life revolves around the computer in an orderly manner. By chance, Angela received a disk from her colleague, and soon after, the colleague died. Later, on a vacation, Angela met a handsome man, but soon the smart Angela found out what was wrong in the man's heart.",
186,"Baby pig lives on hoggett farm Pigs are rarely respected. They spend their lives in a cold and silent world. Pigs believe that if they grow fatter and faster, they can quickly go to heaven. Heaven is so beautiful, but they never return.So when the mother pig was sent to the slaughterhouse, the other piglets didn't feel sad, only babe was very sad. Fortunately, the dog mother fly gave the piglet warmth.Animals on the farm perform their respective duties. Sheep produce wool, roosters announce the dawn, cats catch mice, shepherds herd sheep... Only pigs and ducks are used to eat. It seems that babe's fate has long been doomed. A duck named Ferdinand learned to play and hoped to change his fate through his skills. Ferdinand hoped that the piglet could help him steal and throw away the alarm clock in the house, so that his alarm ability would be valued by his owner.",
187,"Angela vaguely felt that she was involved in big trouble, and everything was inseparable from the mysterious disk. In an accident, Angela fell into a coma. When she woke up, she lost all the documents that could prove her identity. When she completed the loss reporting and re handling procedure, a strange name was written on the document in her hand. What happened to this? In the process of escaping assassination again and again, Angela is also gradually approaching the truth.",
188,"At the scene of a bizarre murder, L.A. homicide detective Thomas Dagget discovers a lethal heavenly prophecy now being fulfilled on earth. In his fight to stop the forces of evil, he finds an unlikely ally in an elementary school tea",
189,"On Christmas Eve, a regretful husband admits to his high-spirited wife that he has hired a contract killer to take her out. She immediately flees. A nice couple offers her shelter, but everyone have dark secrets in this wacky movie.",
190,An affluent and unexceptional homemaker in the suburbs develops multiple chemical sensitivity.,
191,An affair between a young woman and a pastor has disastrous consequences.,
192,"A documentary about the culture of hip-hop. Through interviews with some of hip-hops biggest names, the film makers attempt to find out why it has become so popular.",
193,"Nomi, a young drifter, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls.",
194,"A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers.",
195,A woman&apos;s world is rocked when she discovers her husband is cheating on her.,
196,A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.,
197,A story of desperate search for oil.,
198,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,
199,A young woman separated from her lover by war faces a life-altering decision.,
200,John Netherwood and his wife Leann are fugitives who are both wanted for murder. They have a young daughter named Janie. John and Leann are in the process of robbing a house when the two residents of the house show up. John kills the,
201,"In an unexplained act of charity, Jeanne Holman, picks up an injured, apparent tramp and takes him home to care for him little realizing who he was, or the effect he would have on her life and those of her family.",
202,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",
203,"Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.",
204,"Casey Ryback hops on a Colorado to LA train to start a vacation with his niece. Early into the trip, terrorists board the train and use it as a mobile HQ to hijack a top secret destructive US satellite.",
205,"When a youngster needs a break from the pressures of his parents&apos; household, he moves in with his offbeat uncles and learns some invaluable life lessons.",
206,One of the most successful designers in high fashion plans his fall 1994 collection. Follow the behind-the-scenes look at the creative side of fashion.,
207,A married soldier returning from World War II poses as a pregnant woman&apos;s husband to save her from her father&apos;s anger and honor.,
208,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw &quot;smokers,&quot; and reluctantly helps a woman and a young girl try to find dry land.",
209,"In an alternative America where African-Americans and White Americans have reversed cultural roles, a white factory worker kidnaps a black factory owner for dismissing him over perceived disdain.",
210,The early career of legendary lawman Wild Bill Hickock is telescoped and culminates in his relocation in Deadwood and a reunion with Calamity Jane.,
211,"On the verge of forced resignation, a strict old-fashioned teacher rethinks his life.",
212,"On the run from authorities, a sleazy courier poses as a Scout leader on a camping trip. But he has no idea what he&apos;s in for when he must actually take charge of a group of kids.",
213,"In the Soviet Union in 1936, shadow of Stalin&apos;s repressions lie on a famous revolution hero. The accusations of being him a foreign spy are nonsense, and all known that, but a slow process of his life&apos;s downfall is already running.",
214,Three interconnected stories of love under the threat of civil war in Macedonia and London.,
215,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",
216,"In order to inherit his fed up father&apos;s hotel empire, an immature and lazy man must repeat grades 1-12 all over again.",
217,A teenage babysitter is the focus of two boys and a man&apos;s separate obsessions.,
